RecID|FirstName|MiddleInitial|LastName|SSN|BirthYear|BirthMonth|BirthDay|PhoneNumber
C998634 |Cheryl|S|Danna|185215935|1958|7|24|4796252828
C998633 |Sandra||Saade|105628545|1939|112||2398712461
C998632 |Alfred||Cruz-sanhez|126034605|1916|||7146408657
C998631 |Arthur|N|Patton||1951|50||9258612206
C998630 |Rigoberto|S|Fisher|||||9098412201
C998629 |Lisa|F|Gilson|905272973||||6267324314
C998628 |Linda||Diaz|||||8186761857
C998627 |Lourdes||Thoron|78718216||||8053405472
C998626 |N|D|Pfeffer|811814991||||9544181436
C998625 |Thomas|A|Rodriguez||1902|||2095048816
C998624 |Tommy||Sol|143108360|1934|11|7|9256415870
C998623 ||J|Tooma|28617241||||9256051470
C998622 |Christian|A|Rdedic|128679452||||4085588618
C998621 |Jose||Chaplygin|141872348||||9032350385
C998620 |Rayomnd|D|Lowery|85015373||||3865054163
C998619 |Ferdinand||Khalil|45718008|1964|4|26|8501184778
C998618 |Norman|T|Irobles|123311830|1900|||9036160068
C998617 |Julia||Rea|15853548||||8176324872
C998616 |Paula|C|Alexanedr|98906724|1945|||3234383321
C998615 |Janet|E|Ohnson|109689606||||9796601874
C998614 |Angelia|A|Cole|22755371||||2103315718
C998613 |Lana|S|Yousefzadeh|116992362||||9161204808
C998612 |Clescard||Rymers|105042202||||7144408137
C998611 ||D|Swilley|150446972|1925|||9044207824
C998610 |Christopher||Wheeler|||||8132030564
C998609 |Rolando|A|Garbarino|58169018||||6195411700
C998608 |Bent|L|Carspenter|6177013||||2093154358
C998607 |Dohronda|P|Runyon|143633486|1955|||6504588273
C998606 ||H|Woolsey|55962134||||7607821471
C998605 |Johnnie|D|Osuna|131463985||||8182654013
C998604 |B|M|Cobb|||||7131623764
C998603 |Xee||Everett||1947|21||8706372345
C998602 |O|J|Hall-moore|103139542||||9091072731
C998601 |Byron|V|Ortiz|185620324|1975|7|12|3058310311
C998600 |Martin|M|Scigliano|43281563||||8315312135
C998599 |Susannah||Iakboashvili|97760513||||9094710865
C998598 ||R|Graham|76314461||||6508155250
C998597 |Samuel|D|Echoles|166309184|1966|||3867880266
C998596 |Jason|M|Bujnoch|194361697|1901|8|25|9541617285
C998595 |Beth||Aburto|25275942||||5307532645
C998594 |Christopher|K|Bedolla|||||7146123586
C998593 |Carmen||Radle|64328006||||9363383400
C998592 |Sherry|L|Jolliff|116873603|1947|||3864326116
C998591 |Steven|J|J|197311939||||8135621285
C998590 |Aaron|F|Ademola|111463110||||5628086516
C998589 |Blanca|L|Conrady|160852167|1926|||5016048147
C998588 |Dorothy|T|Olado|160393819|1915|3|30|5616044774
C998587 |Cindy||Marsh|37695135||||8705482117
C998586 |Doylene|R|G|60553714||||4158385180
C998585 |Meredith|E|Hernandez||1901|||4797073863
C998584 |Jamie|P|Gomes||1906|||8503401215
C998583 |Max||Quintero|76385153||||9097213727
C998582 ||E|Melton|71393126|1953|||3053673885
C998581 |Ralph|A|Agtarap|169940285|1931|||9416867555
C998580 |Felix||Peshev|161445499|1988|||5615255003
C998579 |Robert|W|R|125913914||||9726243765
C998578 |Jerldene|A|Love|||||6616246483
C998577 |Frank||Avila|||||8318061072
C998576 ||A|Guillen|93228408||||4245147006
C998575 |Gary||Gonzalez|26288270||||3052241646
C998574 |M|L|Lavasquin|77172669|1943|||7276256443
C998573 |Tamara||Boucher|195638937||||9097244103
C998572 |Deborah|D|Gilbert|146837428||||7138018582
C998571 |Davy|E|Molina||1989|||8504137157
C998570 |Pealre|M|Paredes|138554671||||9091235376
C998569 |Michael|S|Fichera|||||5617188152
C998568 |Medora||Nelson|43617106|1900|1|1|8183166164
C998567 |Michelle||Ornelissen|||||3213071032
C998566 |Justin|C|Risbell|615736590|1961|61||2093680837
C998565 |Javier|S|Sturgeon|149755456|1912|111||8316304373
C998564 |William|Y|Gillis|||||6194574033
C998563 |Michelle|A|Thansaith|54045548||||9097350488
C998562 |Mary|D|Wilson|132924873||||7275412053
C998561 |Leon||Shearer|1689596||||7141054523
C998560 |Luis|A|Rosenranz|611996001|1913|||9093248326
C998559 |Amria||Tanchez|||||9097148203
C998558 |Hershell|P|Pirson|187022743||||5303744180
C998557 |Alicia|P|Morris-hooper|92678400|1946|12|13|4244648375
C998556 |Maria|D|Bernard|||||8185000004
C998555 |Davy|A|Pentheny|144596210|1929|11|2|8136476117
C998554 ||R|Mathieson|129641736|1951|||9547830681
C998553 |Rosa||Macias|6807908||||8135280321
C998552 |Ricardo|W|Pullen|139391588|1936|||4791386060
C998551 |Kimiko|L|Olachia|||||8175225234
C998550 |James|G|Robinson|113710159|1922|41||9097554606
C998549 |Millard|F|Wydysh|164563339||||2541214316
C998548 |J|M|Axnello|||||9164508282
C998547 |Tiphany|A|Raimrez|86227748||||9257126555
C998546 |Charles|F|Cornish|69348688|1973|6|9|9033636284
C998545 |Jennifer|J|Alfaro|14006922||||4075200510
C998544 |Anthony|E|Alvarez|45406016|1964|80||6194835633
C998543 |Socorro|R|S|77663616||||9498635033
C998542 |Clark|A|Holzhueter|||||6193602126
C998541 ||A|Merancio-lepro|132582331||||4075373231
C998540 |Tommy|A|N|||||8056500358
C998539 |Luis|V|Pekc|||||6615315637
C998538 |B||Jijon|179919651||||3106843718
C998537 |Joan|W|Kerr||1967|4|6|9495812615
C998536 |Robert|J|Marshall||1908|||5625585250
C998535 |Harvey|D|Ruiz|95294236|1948|11|26|2095785553
C998534 |Moises|L|Roberson|||||5624163868
C998533 |||Ojseph|61093447|1903|4|15|8173527823
C998532 |Debra|S|Williams|53777317||||7605243244
C998531 |Lavonda||Wronski|198931567||||4085501337
C998530 |Joe|J|Krautkremer|||||3104052002
C998529 ||M|Pribble|90402143|1959|||8187125351
C998528 |Gabby|L|Canete|127168449|1935|||3524002258
C998527 |Joe|R|Aanderson|51522861|1943|10|27|9563630170
C998526 |Anastasia|E|Campbell|41275381||||9046831204
C998525 |Maria|A|Lowe|159377987||||9418064710
C998524 |Manuel|A|Vadillo|52656523||||9253201466
C998523 |Hortense|L|Colton|20921210|1934|2|10|9727640030
C998522 |Dora|W|Minor|||||9727885280
C998521 |Dan|M|Winn||1982|5|2|5124742085
C998520 |Arturo|D|Green|167321580|1922|||9096047066
C998519 |Miguel|A|Nikolov|134095545||||5623806180
C998518 |Jole||Arreola|63974817||||9258761788
C998517 |Cheryl|J|Ulloa|58694881||||9562130665
C998516 |Michael|E|Shields|151465308||||8184475754
C998515 |D||Bolilnger|131761807||||4087682414
C998514 |Clive|D|Kitchens|92235515||||7726307860
C998513 |Alejandra||Rivas|||||3055677137
C998512 |Aniabl|J|Fisher|||||8182350344
C998511 |Martha||Ybarra|||||7075535432
C998510 |Harley||Avila|74870170||||9166750260
C998509 |Allne|E|G|23469739|1917|||3525474002
C998508 |Doris|R|Castanead|27969919||||4077455401
C998507 |Joyce|L|Mize|||||3527363575
C998506 |Kristen|I|Martianez|63701844||||8308080786
C998505 |Davy||Delgado|||||5301281811
C998504 |Cordelia|E|Anderson||1942|8|3|6262810875
C998503 |Faith|P|Yyoung|615746897|1900|110||5015045847
C998502 |Stephen|G|Avendano|18339002|1982|||8176627101
C998501 |A|A|Sausen|175805783||||8178480355
C998500 |Donald|A|Mohn|||||8138357815
C998499 |Theresa|A|Pcapps||1918|||9095221578
C998498 |Tanglier||Yeor|||||7144335732
C998497 ||N|Umoh|78403006||||3866218032
C998496 |Hcristina|E|Witnhrop|51098497||||4796506424
C998495 |Arturo||Juarez-vega|||||6193753162
C998494 |Apolinar|P|Mora|112248006||||5592414180
C998493 |Naipy|F|Bredstrup|62398134|1936|||6195301070
C998492 |Cynthia|H|Cooke|149489451|1952|9|6|9542452034
C998491 |||Wilson|169796399|1985|9|27|4074072044
C998490 |Richard|B|Whlean|132911503||||3524452156
C998489 |Mariah||Steen|139707921||||8706631435
C998488 |Angela|D|Urbankte|||||4078100424
C998487 |||Partida|99614188|1956|||9095818150
C998486 |Randall||Faevla|29408099||||8181558552
C998485 |Catherine|P|Lhandaverde|116577337||||7606525441
C998484 |Sharon|Z|Elgelda|197378522||||7607507222
C998483 |Cesar|J|Avilez|139719918||||2545625622
C998482 |Tamara|E|Pruett|||||5012431535
C998481 |Dacia||Buckner|60516058|1960|21||9547881446
C998480 ||D|Roush|124745643||||2102836324
C998479 |Bisher|Y|Uy|146855708|1949|8|26|9038430386
C998478 |Maura|M|Nardi|62632478|1969|||2095314458
C998477 |Marines|O|Phillips|197768166||||8181012487
C998476 |Debra|C|Lowry||1908|||8177841165
C998475 |Sukhui|J|De Perez|8966825|1959|8|23|3618440478
C998474 |Orn||Gonzalez|8058540|1967|||4072850514
C998473 |Jessica|T|Rey|59073016||||5303150768
C998472 |Ronnie|G|Garcia||1904|12|25|8057755730
C998471 |Maria||Monteiro|161380879|1977|5|3|5016001576
C998470 ||A|Corbitt|195450848|1975|||2818658034
C998469 |Celso|L|Wells|79497372||||2545838743
C998468 |Yvette|S|Simmons|||||9547154446
C998467 ||T|Tyler|94931421||||3051081074
C998466 |Catherine|R|Merritt||1960|||8053831468
C998465 |Jacqueline|S|Svolis|83659194|1975|61||5628722626
C998464 |Melita|S|Courson|16491270||||5625735688
C998463 |Heather|D|Myint|120606268|1979|||6262513715
C998462 |Susan|R|Penn-turner|133504166||||8052401884
C998461 |Christine|Y|Leung|||||9722645065
C998460 |Mathew||Daise|160344833||||5621751704
C998459 |James||Berryman|191373585||||6193132883
C998458 |Arthur||Ellis|6878905||||7136381651
C998457 |John|F|Vera|145325460|1907|8|5|2105748702
C998456 |Beverly||G|84316337||||9048766301
C998455 |Marcos||Turner|||||9492171405
C998454 |Teresa|P|Gonzlaes|167027224||||9094413534
C998453 |Joseph||Cantu|19580218||||8316505821
C998452 |Tauqueer|D|Evants|||||9098884464
C998451 |Justin|M|Yanez|181655548||||4797858523
C998450 |Nicoel|M|Kednregan|||||4084143687
C998449 |Dominic||Holt||1931|||8701848816
C998448 |Jacqueline|V|Lopez||1908|||5622730118
C998447 |L|S|Heierman||1924|5|20|5125338211
C998446 |Ruby|L|Cestero|124969674||||8171064362
C998445 |Nian|E|Villarin|6928658||||2817238003
C998444 |Richard||Robles|74026038||||8184527414
C998443 |Tyler|S|Davids|140735055||||9544225724
C998442 |Benjamin||Sumpter||1930|4|6|3867870842
C998441 |||Allen||1981|7|25|9547146201
C998440 |Advid||Rodriguez|125728560|1924|2|7|7074710127
C998439 |James|R|Lonon|88746233||||3523001412
C998438 |Rdorigo|J|Seaton|138922672|1926|||8187183850
C998437 |Ah||Diaz|179959917||||5598511505
C998436 |Anan|E|Geisler|87705626|1952|||4797707007
C998435 |Jack|D|Watson|44032708||||4247316450
C998434 |Arsen|M|Odero|110402148||||2098131212
C998433 |Nifretta|E|Smith||1927|9|13|2148664216
C998432 |Lori|M|Gabryluk|8741728||||9721503863
C998431 |Henry|I|Sanchez||1951|10|30|2815366811
C998430 |Monica|J|V|139436244|1975|5|22|8171654641
C998429 ||S|Green|148062748||||2542884308
C998428 |David|Y|Ouk|140620963||||2096750513
C998427 ||G|Schwettman|94034999||||9034874564
C998426 |Hector|M|Culender|42496089||||5592023553
C998425 |Michael|Y|Chasen|121497067||||9721051421
C998424 |Polly|L|Maffei|133688937||||9094485181
C998423 |Karen|A|Ortiz|84579757|1978|||9167746307
C998422 |Robin|L|Husby|||||7142338537
C998421 |Jennifer||Tracy|||||3051814670
C998420 |Matthew|A|Dow|15920362||||5593581106
C998419 |||Soularie|159236640||||9257660763
C998418 |Eduardo||Sawyers|||||2092744701
C998417 |Asmuel|M|Everts|||||9362557455
C998416 |Nigel|I|Adams|6684068||||6198003866
C998415 |David||Goodman||1980|11|10|5616875367
C998414 ||E|Cornett||1934|62||9043618525
C998413 |J|S|Oribelol|29154440|1909|90||8057742704
C998412 |Ann|V|Quach|92888578||||5011408085
C998411 |Mary||Reed||1959|70||7133332652
C998410 |Robert|L|Mcclendon|32054656||||4242513437
C998409 |James|K|Eichberger|13468544|1922|||9405863871
C998408 |Jose|W|Brookes|6729443||||6193674652
C998407 |Trisha|D|Robbins|194308112|1988|||5625715114
C998406 |Judy|D|Hyde|180916244|1907|||9045365252
C998405 |C|A|Gilmore|||||7138715050
C998404 |Darnella||Rivas-hernande|114115409|1971|31||7142253708
C998403 |Tonya|S|Ferrell|169920626|1911|10|24|8314373271
C998402 |Dennis|D|Lovell|5052324||||9091343735
C998401 |Rosalyn|A|Lunogo|141734378||||5301612782
C998400 |M|S|Potter|149794690||||5621034363
C998399 |Vivian|R|Alarez|99576010||||3862151071
C998398 |E||Guevara|||||4071312720
C998397 |Jim|R|Sanchze||1958|||2812755072
C998396 |Farrie||Dichoso|49695392|1981|3|14|9036723181
C998395 |Doroteo||Quiros|129763511|1985|2|20|6195474066
C998394 |Elizebath|L|Hastings|132460363|1949|8|19|9093204406
C998393 |Joseph|A|Jankowski|||||9724584277
C998392 |Miguel||Polanco|195893910||||9546568706
C998391 |Carlos|L|Garrett|51027047||||9095826555
C998390 |Orsalind|L|Ngudyen|38900130||||5591042208
C998389 |Andy|A|Zatarain|||||5614034610
C998388 |Douglas|P|Martinez|183127481|1934|6|29|5123243674
C998387 |Paul|B|Pena|38957022||||2548167536
C998386 |Rita|W|Morgan|||||8053676555
C998385 |Gerlad|G|Altamirano|125254091|1906|10|13|9096010674
C998384 |Jaycelyn|R|Doerfler|||||9094055278
C998383 |Mary|R|Mcmartin||1934|12|15|4087575375
C998382 |Diana|A|Flores|5462911|1969|||3051212336
C998381 |Ray|R|Benson|||||4074816320
C998380 |Denise||Black|50847262||||2097310737
C998379 ||B|Peace|||||9168740364
C998378 |Mario|S|Loya||1956|||9167616056
C998377 |Maria||Maillet|175899678|1950|||9161602263
C998376 |Julian|M|Ursu|52086003||||9545746212
C998375 ||M|Carrillo|197523911|1983|5|26|5623651805
C998374 |Mehrdad|E|Thurman|||||9362702614
C998373 |Arturo||Juarez-vega|169933941||||2394081164
C998372 |Cheri||Mangalie|98587463||||9257523671
C998371 |Juan|S|Velsaco|30436488||||6611853543
C998370 |Cameron|C|Owen|27758127||||8503588585
C998369 |Dolores|S|M|109357767|1938|4|28|4797832381
C998368 |Patricai|P|Infante|||||8176244228
C998367 |Barry|S|Juman|||||7147571724
C998366 |James|P|Fukn|174125287|1934|80||9165213817
C998365 |Lucia||Rodriguez|151908331||||5623646228
C998364 |John|A|Harvey|155770496||||8063831622
C998363 |Warren|B|Leahy|81657047||||6266278808
C998362 |Edie|E|Parrlila|||||9034058071
C998361 |Ofuad|C|Labuda|167128601||||7135103637
C998360 |Greg|D|Mixon|71342809||||8057753548
C998359 |Lucia||Mcchesney|152159433||||5617575342
C998358 |Silvia|M|Ga|||||7144014524
C998357 |B||Ocoha|187249717||||9542144404
C998356 |Jose||Damian|37890329||||9253216052
C998355 |Stacey|J|P|65851285|1926|||9544280820
C998354 |Carlos|R|Magley|148056134|1900|3|30|4076823604
C998353 |Claire|A|Grieser|25805497|1975|||5302005818
C998352 |Juanita|T|Hogan|39318577||||4075328016
C998351 |Wilburn|W|H|||||6611668706
C998350 |Ronald|A|Rascon||1986|3|1|4072438257
C998349 |Jose||Longoria|19500332||||3523732886
C998348 |Veronica||Ordog|137136117||||9095436246
C998347 |Cecliia||Al Shek Salih|66217651|1967|||6264164813
C998346 |Sde||Nazario|319185807||||3862704220
C998345 |Hang|W|Pan|77204848||||3217726604
C998344 |Dbera||Watosn|56045187|1974|101||4085237072
C998343 |Maria||Krapes|98077741|1923|10|18|2397535601
C998342 |Myrna|E|Seidiat|189065511|1909|5|4|5305650485
C998341 |Donna|E|Ward|88611688||||5612404372
C998340 |Florence|J|Smiht|82146955||||8173534456
C998339 |Patty|L|Sanchwez|||||4798642647
C998338 |Jamie|S|Blankenship|||||5611572375
C998337 |Cera|P|Zuccarello|101003082|1951|12|30|2098113101
C998336 |Ernestina|M|C|160586393||||9722474851
C998335 |Delfai|A|Silva|||||9164812248
C998334 ||S|Cox|151718674||||3054086354
C998333 |Ming|A|Washington|62463863||||4791367648
C998332 |R|J|Hernandez|||||2811151206
C998331 |Hilare|H|Bushey|168345618|1944|121||9168103827
C998330 |Philip|O|Harris|173026160||||7077773321
C998329 |Richard|S|Guevarra|||||2096346041
C998328 |Helen||Gopee-nazamall|104160537||||3056683246
C998327 |Maria|M|Scmhidt|149575697||||4075251362
C998326 |Martha|L|Ehnriquez|27569720|1942|6|25|8188065356
C998325 |Tomas|M|Beckwith|190231246|1984|2|19|4072818018
C998324 |Frank|M|Gambao|30904804||||8173486546
C998323 |Yolanda|L|M|96775441||||5617083368
C998322 |R|C|Fajardo||1916|||2541783103
C998321 |Roland|C|Potts||1948|||5308505135
C998320 |Chelsea|G|Cayas|102325910|1950|7|5|9091004200
C998319 |Oralia||Delvalle|109608073||||7147220742
C998318 |Danny|J|Johnson|14649749|1926|||5106743650
C998317 |C|G|Moore|151690360|1932|3|18|2145558311
C998316 |Cyndi||Benitez|||||3215014261
C998315 |Natalie||Alarcon|148750917||||2817380185
C998314 |Martin|B|Seifert|||||7146817608
C998313 |Kristie|D|Jobe|||||6198601605
C998312 |C|L|Jones|63114141||||2093362160
C998311 |Grisel|J|J|23605071||||8175245503
C998310 |Kenneth|D|Walzlace|49498545||||8055773376
C998309 |Joan|J|Asberry|87769843||||8185435685
C998308 |Myrna|K|Moprse|35908621||||9728238345
C998307 |Margie|G|Blushtein|109370753||||4097576850
C998306 |Ma|L|Davis|158094747||||8183735245
C998305 ||W|Mcneil|94906128||||8138352844
C998304 |Victro|A|Taylor|18758831||||8138234711
C998303 |Kimberly||Taylor|46885131|1929|||5613138886
C998302 |Tammy|E|Lee|92477784|1913|71||3237512302
C998301 |Cynthia|R|Routh|55630822||||7074686466
C998300 |Roger|K|Whitaker||1972|||5621722240
C998299 |Mariah|P|Arena|43317217||||3102882135
C998298 |Sheri|M|Cook|116765201|1938|||9034863383
C998297 |Lisa|R|Coll|||||9561637126
C998296 |Julie|J|Rodriguez|128981140||||9093256774
C998295 |Micheal|M|Stephenson|||||2095886020
C998294 |Paul|P|Bolthouse||1979|||5125612535
C998293 |Ramon|B|Tilghman|||||8632537257
C998292 |Albert|T|Sturdvant|||||8318426245
C998291 |Patricia|M|Biggins||1966|||8312001652
C998290 |||Illiams|185861084||||8132401677
